,h.1,h.2,h.3
1999-01-07,,,
1999-01-08,0.21842091918307607,0.20076839694340878,0.19194213582357514
1999-01-11,1.6359998918326901,1.7474800774164638,1.8589602630002373
1999-01-12,0.8940680007156218,0.8942751969706182,0.8943791147006015
1999-01-13,1.2892327473023537,1.3000223305969671,1.3108119138915806
1999-01-14,1.8792662695589648,1.879283606528982,1.8792921703641219
1999-01-15,1.2050368311109465,1.1630637105506036,1.1225525731417525
1999-01-19,1.285647668511233,1.2498801268476822,1.216855832186011
1999-01-20,3.118680475344012,3.1931423884455907,3.2676043015471694
1999-01-21,2.5896771362114794,2.6292507023835388,2.6688242685555976
1999-01-22,2.0291811432058924,2.030699454295038,2.0319895139135515
1999-01-25,2.0743713872152636,2.0743717052341255,2.0743718618663887
1999-01-26,1.9349444620636413,1.9349341873567716,1.9349278285587777
1999-01-27,1.6040350244960957,1.5874051893414447,1.5709477642173288
1999-01-28,1.8619106252683484,1.8619105795092346,1.8619105572626578
1999-01-29,1.4902759279679978,1.4728523303863021,1.4556324652013923
1999-02-01,1.8497497017827436,1.849749691035405,1.8497496857624662
1999-02-02,1.7951661426766758,1.7951661338022225,1.795166129442043
1999-02-03,1.3877736477242912,1.3710613558759448,1.3545503223440658
1999-02-04,1.3201280873564214,1.3025628924050578,1.28523141445038
